,teks,sentimen
905,cocok daerah gunung penuh hutan takut mogok kuat nanjak,0
1370,stil mahal warga kurang uang,0
1416,perlu subsidi buang anggar beli tengah atas,0
1197,keran export nikel buka berita ekonomi indonesia cnbc ubah positif,0
1084,negara terap kayak negara maju rata rata kendara harga murah jiklau ekspor nilai lebih negara produksi mantap,2
949,malas banget lihat wajah muldx,1
1260,masalah ekosistem bentuk mau laku investasi gede daerah desa bikin swap battery spbu minimal fast charging spbu awal bentuk kelompok masyarakat pakai ev terus kembang j cuma ngemeng mana laku investor kabur,0
1349,mau beli tarif udh naikin dulu trus lowbat apa tiap daerah udh buat charger,2
24,ekosistem siap malah maksain suruh beli kendara sesuai banget,2
1076,kampung apa charge habis daya batrai masak dorong tempat charging,0
29,harga sperpartnya,2
880,specnya jelek mau beli batre pake sewa asu,0
1143,boro boro mikir bli ev bli sembako udh susah bro,0
1292,pertama laku jabat pake,0
432,bukan laku jual subsidi ribet banyak syarat sarat,0
1217,nama proses butuh tahap,0
967,harga mahal disain kurang tarik,2
805,mau masyarakat dp bukan dp ringan ccl besar,2
623,mudeng carane ngecharge bro nang ndeso ono spbu,0
562,tak laku kok tempat wara wiri terus motor sama,0
621,puyeng muldoko luhut main utama indonesia,0
1412,subsidi juta,2
502,bikin berita kok kayak profesional pake kata pandang mulu pake data faktual data jual motor kuartal naik lipat banding periode sama tahun lalu padahal beri subsidi lho lihat loncat jual kuartal jangan langsung banding ama jual motor konvensional bahan bakar bbm ni reporter mabok jelas kalah teknologi baru relatif mahal infrastruktur dukung minim model tentu waktu tunggu lama cnbc plis deh bikin berita bobot dikit,0
721,insfrastruktur kendara bangun hingga desa desa kendara raja jalan,1
399,bagaimana laku lebih cuma irit irit sangat giur kaum ekonomi bawah ironis kendara hargae atas jt bahkan milyar nyata punya uanga atas juta bahkan milyar terlalu pikir irit pikir gengsi status kaya mana mungkim mau,0
1097,tuju green energi subsidi plts rumah rumah pln koleps,2
1485,cara tahu motor subsidi gimana produsen dealer naikin harga olah subsidi padahal harga normal tetap segitu,2
685,benar tuju perintah maksimal hasil tambang negara sendiri konsumsi negara sendiri ambil negara ambil harga murah jual harga tinggi,0
538,cara rakyat jamin nyaman utama bila kena air sakit kena air bungkus pakai balut anti air kabel sambunganya terminal terminal temu kabel power wasalam,0
861,jalan rusak banyak banyak rakyat miskin,0
1173,kendara lebih cocok angkut umum disupport perintah bukan suruh warga beli sendiri,0
1013,akal akal baiden sama china sejak duduk persiden mi batasin lihat trump naik bakal balik normal ev loyo,2
1254,stop jual stop jual motor dorong kendara umum banyak baru pikir akal sehat,2
1502,beli wuling airev cuma tinggal lebih dikit dong,0
32,dukung terus doa negara makmur produksi sndirikan,2
138,beli senang ps jual susah batere pakai udh ngedrop ganti biaya sangat mahal sekali harga baru,0
764,teknologi teknologi sampah embel kurang emisi cuih mana emisi kurang guna signifikan orang duit beli rakyat kecil korbanin,0
156,rakyat mau muraah dicharge rumah kantor,2
408,inti mahal harga puluh ribu jual segitu laku cepat,2
498,tidak praktis harga mahal lengkap dukung after sales produk sebab utama kendara sepi minat contoh paling sering keluh ialah sifat buah kendara butuh waktu relatif lama isi tenaga tmpt fast charging sedia tetap butuh waktu minimal satu jam dukung karakter mobile buah kendara charging rumah butuh waktu jauh lebih lama jam akhir masyarakat rasa kendara ikut mobilitas tinggi guna harga relatif mahal buah kendara mungil wuling banyak jenis patok harga sesuai kapasitas kendara tsb konsumen paksa mengguinakan kendara tambah,2
726,tanya tanya kepala staf presiden ngurusin tonton video milik dealer kendara siapa paham,2
70,cnbc semua kantor berita asing mau coba goyang indonesia bawa rakyat gerah lihat jokowi atur kayak presiden belum jual kokain kalian rakyat kalian kerja cia dulu as senjata tukar kokain era contras made in as nikaragua rakyat kalian zombi kensington pensylvania,0
1212,lemah besar bawa mudik desa khusus gunung,0
295,lapang tempat charging jarang mana masyarakat mau,2
1073,mahal pengisihan rata,0
884,pembnagkit pake pltu cari lingkung apa batubara bahan baharu rakyat banyak pake kendara bayar naik baik perintah perlu kaji lebih matang jangan asal bikin bijak rakyatjuga bikin susah,0
1128,jabat nyambi kartel ngebet promosi subsidi cuma buat tebal kantong mending alih misal buat pupuk bbm nelayan,0
224,kok malah sales,1
1491,orang geblek beli arti masuk kaya kok kasih motor gratis rakyat tengah bawah miskin geblek,0
606,gampang to tinggal gx usah import bbm beres,0
1082,moeldoko ngomong kerja tak guna punya prestasi,2
1027,mahal china murah contoh air ev sini mahal padahal produksi sini kbanyakan ambil laba dealer ama sales ngebet cepet bp,2
921,pikir orang negara kembang,2
300,duga brg ggk akn laku ngapain orang pake ribet bbm gampag beli kecuali bbm sudh lagka,0
105,demokrat pikir kok mundur nama baru rakyat banyak tahu wajar perlu waktu jangan baru hambat dikit nyerah mental kerupuk,0
1067,subsidi bukan rakyat kecil subsidi tuju alih bbm bbm impor triliun indonesia sangat limpah malah indonesia expor listtik luar subsidi mesti bbm alih rakyat kecil upa sembako lain,0
1497,beli wuling,0
1286,gimana laku harga murah hampir sentuh juta,2
78,nyata muldoko kosong,0
1002,super mahal tambah bareng sarana prasarana seluruh daerah indonesia,2
667,indonesia pas hybrida,2
296,tri tambah kaya bkn rakyat,2
1112,cepat korupsi lambat tangan,0
1246,lagi siapa mau modelnnya jelek jelek,0
1250,usaha pinter ajar minyak goreng sekarang bayar cchuuaks,0
569,ev nd car st car mikir hrg tara muat orang,2
466,geber geber sih,1
336,minat harga bawah jt itu tampung banyak,2
598,perintah teh cileupeung ain dulu station charging seluruh pelosok indonesia safety kendara banjir indonesia rawan banjir jalan buat regulasi lolos kriteria battery sistem cabut pasang lebih cocok buat indonesia soal banyak rumah bawah wat quick charging kendara support quick charging baru jual indonesia ngecas lama dipake sebentar gimana mau keluar kota was idiot malah jual diutamain bukan infrastructure dulu dipikirin mentang masyarakat pinter perintah ngotak pake bensin jalan amburadul desa pelosok jauh mikirnya mau meng electric semua kendara jalan mau lari mimpi,0
1203,ev teknologi sangat mahal praktis isi daya efek rusa lingkung akibat tambang bahan baku baterai justru lebih masuk akal optimal emisi gas karbon atmosfer produksi bensin sintestis guna bahan bakar motor sistem kendara lebih praktis pakai hidrogen banding teknologi baterai,0
461,subsisi ev buat orang mampu masyarakat kecil gx dapet apa mending transportasi masal jalan kaki sepeda kembang banyak bikin macet kena macet batre habis end boros pt inca ngebet kayak sampe minta non listik bayar alir vulusnya gimana jangan panggil kpk,0
970,kemah listrinya,1
1271,rakyat indonesia blm siap perintah sedia murah rakyat indonesia jangan so canggih rakyat miskin kalian korupsi,0
763,nyari duit melulu perintah mau produk china jelek,0
1272,bukan laku harga jangkau fasilitas dukung baru sedia kota besar bahkan seperti cuma jabodetabek mumpuni fasilitas kendara model kecil wuling air ev harus se harga lcgc negara asal harga cuma juta dekat sampe sini malah hampir juta,0
930,contoh luar negeri harga jt negara harga naik x lipat banyak koruptor negara,2
1104,rakyat bawah garis miskin puluh juta orang jumlah apa baik uang triliun bantu mrk,0
206,makanya perintah mau ngasih subsidi motor jangan pilih kt rakyat jangan beda beda,0
419,stop imfort tektil garment china tingkat produk lokal negri tingkat dapat,2
346,infrastructur siap siapa jg mau uji coba lebih bagus segala otomatis orang jg pindah,2
1214,ingin rakyat indonesia kendara bahan bakar air harga jangkau,0
1320,naik kendara tiap tahun naik persen imbas subsidi bbm makin besar subsidi kendara tekan alih subsidi bbm nama oposisi jadi komoditas jatuh lawan,0
546,transparan subsidi y ikan info iklan via mesos tv subsidi kendara kepda masyarakat,1
198,masalah atas aftersales indo sekarang masalah ngawur buat kendara rusak charger butuh daya wat besar jalan banjir macet jam monopoli kaya beri modal belakang,0
1264,chargernya susah,0
337,masalah buat batrenya karna batre tiap merek motor beda klw sperti bensin apa merek motor isi bensin jenis batre semua merek motor mudah dlam pngisian ganti,0
1299,hayo pasar sepeda ontel becak lebih sehat jasmani,2
991,benerin dulu transportasi umum baru ngomong kendara ibarat orang jalan mas seok suruh lari yya ambruk,0
59,nama beli kendara ulang ulang bbm pakai puluh tahun rusak baik dikit sekali rusak keluar uang harga baru batterynya ampun sulit jangka dekat mungkin tahun,0
802,mungkin tak laku indonesia industri ev malaysia makin terima ramai makin kembang,2
1306,sbnrnya sya brminat karna muldongo bicara sya minat,2
933,politik nanti naik,0
954,takut konslet kena ujan banjir,0
483,colok rumah naikin daya,2
33,suat baru kata jaman dlu kala efisien tinggal ngerepotin efisien mahal mudah rusak beda brand beda bentuk baterai beda bentuk power outlet beda besar baterai dl,2
81,mau orang langsung pindah tutup subsidi bbm subsidi,2
637,jt umur tahun blm prnah punya tabung jt gaji sbln jt sih,2
67,bagi gratis pajak umur hidup siap terima senang hati,2
1466,betul subsidi jt plat trus mau pake plat bayar juta sama,2
1238,batrainya langit harga,2
772,mau beli mitor rumah kuat terus mau ngecas mana,2
189,buat angkut umum ajah lebih kurang kendara jalan kurang macet,0
743,tiket kereta murah lebih enak naik kereta perlu usaha kemudi maklum sanggup bayar driver,0
856,indonesia negara miskin th bangke,0
1330,tempat ngecas msih susah apalgi daerah,0
182,ev bukan ganti kendara bahan bakar minyak,0
770,semua hanya main v,0
75,batrenya mahal rusak,1
1172,penting bapak bapak cuan besar feeling bakal jalan dech motor jangan industri manufaktur otomotif indonesia gulung tikar semua obsesi buruk perintah sukses electric vehicle bapak bapak jabat perintah tahu berapa banyak orang kantung hidup sektor manufaktur otomotif bbm parts alami naik signifikan ambisi perintah sukses program sebut hati hati bakal banyak anggur baru,0
53,apa rakyat mau chanel apa,0
744,luhut muldoko fikirin bangkrut,0
151,kampanye hybrid perlu charging station pakai bbm lebih irit,2
1401,wacana tuju orang milik uang lebih beli buat subsidi gt mending uang buat sumbang rakyat mampu bnyak rakyat hidup kurang buat makan susah boro beli,0
1484,segala pajak harus bebas mau go green harga lebih jangkau konsumen,0
800,infrastruktur kurang mumpuni dipake jarak jauh jalan tol mau ngecas dar dipake buat kerja kota masuk akal jarak jauh bayang infrastruktur butuh stasiun isi umum berapa waktu habis charge pakai jalan arti siap lahan isi sangat luas invest lahan isi luas taruh besar demand sedikit pakai antar kota jalan jauh lingkar setan bahkan gera kota kota padat jakarta mungkin banyak orang pilih guna kendara umum banding kendara pribadi spt pribadi,0
220,orang indo suka diesel,0
762,masalah orang enggan beli harga mahal isi ngecas ribet makan banyak daya tenaga banding non sangat bahaya mudah bakar rusak,0
183,masyarakat mau kok paksa bodoh,1
632,stop produksi sepeda motor konvensiona bensin laku motor,1
834,bgga murah ngechargenya jg msh bikjn dagdigder ad nggz daerah tuju cb bw ciwidey trus arah pantai banten pssti mikir soal sepeda jaya dimna mana sel kayaj viar dk,1
427,mbok dicontohin dulu coba ganti dulu semua kendara dinas gitu,0
155,moeldoko sabda usaha isu khusus dealer isu apabila p mau beli kendara skema jalan restitusi susah mau ngmng,0
1132,stasiun charging sedikit gimana mau beli motor orang kaya motor lebih masalah beli motor,0
559,bukan nga minat harga mahal,2
157,perintah latah gas ikut bbg ikut esok baru hidrogen ikut hidrogen padahal infrastruktur isi ulang charge bbg stsiun minim dasar mental followers,0
323,urus surat surat kendara ribet alas buat masyarakat malas halo mana nih dukung pihak samsat baik dishub pajak maupun polri,0
1494,anda wuling keluar versi juta bukan jt perintah usah buang duit subsidi juta,0
1179,tetap semangat mudah balik telapak tangan,2
1496,wah mantap subsidi polusi lebih sehat,2
493,transisi dulu dri bbm konvensional hybrid lengkap fasilitas dl baru deh,0
1244,si begal partai,0
181,harus perintah tau diri semua rakyat mampu beli trs cas susah rumah hrsnya ekonomi rakyat dulu pikir khusus rakyat kecil hasil bawah umr,0
1180,miyak lama habis imbang,0
1409,moga punya produk anak bangsa aamiin allah yarobbal alamin,2
607,rakyat bukan orang tolol dungu bodoh pernah punya motor amit kapok bakal beli kendara turun elo mw tipu sila beli wakwakwakwakwak,0
643,loh kurang laku masyarakat bukan krna moblis siapa kelola punya jd malas beli disampung tekhnis,0
1253,sama bohong kurang ppn pajak barang mewah tetap,0
657,lokasi cas mas blm tunjang harga mahal dealer blm bnyk kredit,2
1239,inti bensin turun rerus rusia discon timur tengah discon bensin laris donk tiap pom bensi diller mal hotel alfa mart indomaret baru laku rumah paket paket daya turun terus,2
1359,maaf bos ku mau nanya nih lewat jalan banjir sampe tenggelam paruh apa konslet maaf orang kebun tau bos,0
1144,wuling ev harus cuma usd china jual harga segitu masuk sini juta anjaay,0
1191,tenaga kuat tanjak biasa batrainya tahan lama boros konvensional bbm irit harga jt bawah buat masyarakat duit passan tempat isi mana spbu,0
1308,murah negara masyarakat tahu kualitas kendara negara bagaimana produsen percaya masyarakat jepang korea harga mahal jangkau,2
411,rakyat sadar kalian mafia kapitalis bikin ekonomi naik turun se enak perintah hampir mampu melmdungi rakyat kapitalis mungkin kerjasama perintah serius tangan indonesia kiblat jepang,0
113,halah coma main sini desa desa tanyain usaha apa hasil berapa hidup sulit mau pecut pecut bapak pikir kerbau cocok hidung nurut nurut gitu negara karna rakyat jan awal pecut batrai hp drop om soak lagi mahal ramah rakyat tengah bawah lebih tuju orang orang kaya usaha gedw,0
137,laku terlalu mahal,0
1075,rakyat mau sembako murah,2
1326,mungkin dimodif mio mber,0
335,bukan laku semua baru jarang langdung sukses,0
1201,moeldoko turun tangan karna ketar tir pendapatannyaturun diadapuk dedengkot organisasi usaha kendara,0
1464,luhut curiga,0
119,mau keluar kota cas batere perintah sedia stasiun charger mau beli jangan cuma jual dong mas pemwrintah mikir mas mikir,0
585,tempat cas banyak sebar rata,0
662,banyak pakai batrei semua rata soak durasi pakai batas,0
1054,lama daerah banyak minat tau beli knp pasar kaya motor rata seluruh darrah,0
548,gimana mau laku harga msih mahal,2
630,faktor utama jauh lebih mahal,0
611,jangan turut motor jual lebih murah cuma kalang tentu motor subsidi lebih laris soal banyak kalang bawah jumlah atas,0
301,ev bom layak sekarang segi harga peroformanya jauh mending push bahan bakar biofuel bahan bakar tumbuh baru fokus ev gapapa buat regulasi baru kayak eropa kendara baru euro atas semua kendara baru hybrid,0
1267,masyarakat mana tanya,1
158,harga ev mahal solusi perintah suruh guna non ev bayar mau pakai jalan ev wuling harga avanza mana punya size lebih besar fitur lebih banyak masuk akal pilih wuling hyundai ioniq harga pajero harga hybrid murah guna jalan bayar lalu pajak guna non ev bayar,2
1107,kendara smp subsisdi an juta cm akal an luh t si tempramental kras kpala moeld kok si begal parte cs kroni grombolan malingsialanya ni orang benar licik sok jual nama rakyat kbaikan rakyat pdhl fix fakta mrk regulator skaligus main produsen kendara si luhut punya pabrik motor bgtu muldoko si begal parte demokrat jd pmimpin asosiasi kndaraan mana fair etis skkelas pjabat mnaruh pribadi bisnis dlm atur negara mngkn tau mau lengser jd cari celah jd uang pensiun kelak,0
595,mahal dikit pilih charging station dikit indonesia apartemen baik deh penting,0
150,pakai semua jabat negara masuk presiden laku,0
314,om t sama supra fit ngk om serius neh,2
1373,banyak anggar subsidi kurang jelas pertanggungjawaban tambah proyek subsidi masalah aman anggar subsidi pertanggungjawaban,1
574,prasarana ribet mau beli,2
1032,harga mahal umur batre tanya investasi mahal orang hati,2
1041,tong motor buat dlm negri laku mau nyoba jual pabrik skg licik booming dimanfaatin bt naikin harga jual x x lipat,2
813,aga bego sih jokowi pke subsidi,1
72,bukan laku mahal,0
854,rakyat lebih butuh subsidi bbm didik sehat rakyat kecil beli subsidi baru mau orang kaya kok subsidi gelo,0
807,salah prioritas kendara pakai dulu kendara umum macam bis nyuruh sipil biasa beli ev harga masuk akal mana realisasi masa harga ev ukur bajaj macam wuling jt benar gede calya avanza harga sampe segitu aneh perintah indo ngerti nasib ingin rakyat indo sendiri gimana banyak main kalang jabat sih ngiranya semua rakyat gaji macam jabat,0
347,ingin masyarakat banyak angkut umum massal mudah akses koneksi beberapa daerah wilayah,2
842,laku indonesia bakal asal harga mahal mahal jangkau tentunmahal,2
824,suatu mau mau laku bahan bakar fosil makin langka,0
755,mau ev laku naik harga jual bensin diesel atas harga,2
1141,asal ganti baterai garansi tanggung sih gp,0
1425,nunggu murah harga juta beli,2
454,bodoh beli ngapain perintah kasih diskon nambah utang negara,0
439,jga tetap dunia paksa terima nyata stop produksi bbm orang paksa bbm produksi,0
1282,hybrid paling benar,0
437,negara ikut bisnis,1
13,banyak kenderaan buat tiongkok rekam bakar letup amerika rana masalah baterai kenderaan bahaya,0
510,bijak situ lahan koruptor banyak korup terus jabat anj,0
591,masalah manusia tolak alih kendara asal jangan salah tuhan depan jadi banyak mati akibat cuaca panas sangat ekstrim,0
979,asa dulu transportasi publik deh minta,1
1456,lo he lohe subsidi produsen apa konsumen jelas dong,0
613,siapa mau anjur jokowi awat terlalu tinggi muldoko dia garong partai,2
879,bijak pro wong cilik,0
452,harga masalah harga murah laku,2
36,aneh banget subsidi kendara pribadi pake anggar negara bayar usaha malah dorong program ada ev buat jabat ngasih duit buat kkn proyek ada ev jabat punya saham usaha sembari dapet baru pake anggar negara dapat ras duit pajak masyarakat kecil padahal transportasi publik sendiri pada cuman jakarta kota kota bantu dorong kembang layan transportasi publik rata nih padahal ahli kota nyata bijak solid transportasi publik turun macet hingga efisiensi sistem gera kota lebih tepat waktu kendara jalan lebih efisien warga kecil nikmat akhir gera ekonomi lebih lancar akibat lain kurang polusi fasilitas dukung transport publik tingkat trotoar lebar lahan pkl rapi toko pinggir jalan hidup dl masyarakat kecil lebih banyak sempat buka usaha jalan banyak lalu transportasi publik sebab semua susah jadi paragraf,0
1495,bodoh perintah subsidi kok beri orang mampu coba subsidi didik sekolah banyak anak sekolah gara biaya usah kasih subsidi model konsumtif kayak gin jual warga makin bodoh makin miskin sekolah,0
1417,yank takut masyarakat bagaimana habis jalan harga batre mahal jka batre rusak,2
1332,minyak goreng bayar vendor waskita bnyak bayar mau ngelawak apa gimana,0
412,ujung ujung bisnis muldoeko louehut bisnar rakyat tak mau aspek bisnis produk jga sesuai pasar,2
1015,bukan masyarakat mau uang cukup coba bawa jt muat orang,0
603,harga ev bawah biasa baru beda halah demokrat,0
759,jt dapet karuan beli grandmax muat banyak harga murah bbm irit,2
1374,si sri pihak rakyat memikirian asn kapan infonesia bubar,0
1109,mahal cuk subsidi siapa jelas orang kayak mungkin pertama orang tengah atas sedikit,0
1163,ingat venomena tambang bitcoin cina banyak mining bitcoin akhir lonjak naik trs naik apa dampak berita bumi makin panas tambah energi panas terima bumi prilaku mining masal trs mau pindah kendara bayangin banyak orang pake bayangin lebih buruk jadi venomena mining cina apa makin hancur lapis ozon bumi lama lama hancur sifat serakah manusia usaha untung pakai buntung collab lama hibrid kenap tingkat oiah lupa bikin modal kecil jual puluh lipat bukan bas puluh loh cuaks,0
1516,niat beli ev murah malah ikut dinaikin sama perintah terus rakyat jangan kasih sejahtera,0
435,isi daya pom aki msh minim bengkel msh hitung jari masyarakat jg takut jeba hjn gimana aph mogok butuh waktu saing dg konvensional,0
1031,battery hp ledak takut aman mulai air cuaca panas dl rupa musuh,0
572,tiap tahun sekali ganti baterai tekor,0
952,kndaraan cm ousat kmpg giln ngecas mn jd maslh trs model motor jg jlk jlk model beat semua,2
1384,moga babgsa depan jadi bangsa lapar tani tak pernah urus,0
222,sumber mana kok kayak asal nyeplak jelas batrai mahal masa pakai mesin repair durasi charge lama minta ampun ban bocor bengkel pinggir jalan banyak sekali lemah ev kalian mau survey masyarakat tengah bawah bos kalian tahu ev tak laku,0
858,subsidi jelas jalan banyak bolong mikirin subsidi,0
287,tambah pribadi arti tambah macet jalan raya,2
1305,negara maju malaysia nga laku negara konoha byr banyak nunggak,1
765,apa diesel top cumi darat hahahaha,1
781,jangan samain tak tak sama kendara bbm kendara,1
1367,sendiri usaha,0
1383,keren banget pantun tim kreatif podcast bawa narasi beri insentif gelas kopi,0
379,baru buat orang ragu ragu kaya waktu minyak tanah alih gas lpg sekarang gas lpg suruh rubah minyak tanah ogah coba pln buat meter wat besar abonemen murah minat masyarakat cara dukung ekosistem motor,0
1088,harga stngh harga pasar garansi batrai minimal tahun blh pikir luar negri harga harga indonesia bandingin hyundai ioniq korea beda x lipet banding indonesia pdhal hyundai pny pabrik indonesia ngapain bangun indonesia tekan harga domestik trs jg naik trs sama boong hemat bbm harga naik,2
513,ev laku jual dikit harga dimainin jual aji mumpung masa barang harga jt luar negeri sini jual jt,2
100,jelas jabat tri keluarga suka kok nyuruh masyarakat beli lucu lucu,0
910,segera hapus pelan jumlah spbu bbm,0
1457,hak dapat subsidi harus semua subsidi beri sepeda motor karna beli arti orang kaya,0
343,perintah tak mampu rubah meski diskon mungkin baterai universal ganti mana semua kendara jenis apa sama model lebih mudah motor maka baterai sama misal motor batetai kapasitan baterai mudah isi masyarakan bisnis isi baterai tinggal ganti unit baterai,0
1258,model kurang tarik,2
833,duh kasi jabat calon rugi deh,0
1357,nunggu kabel charger type c,2
286,perintah dpt cuan rakyat sengsara perintah angkut ganti angkut jangan desak masyarakat suruh beli,0
969,rakyat mau jalan negara desa aspal dulu blok,2
526,subsidi penting usaha moldoko n luhut,0
95,jd masalah tempat chargernya msih sedikit bykin tempat chargenya trus ngecas cepat cepet laku orang mau beli mikir ngecasnya jalan jauh,0
163,inti cuma bos ku harga muahal harga daihatsu sigra muat tumpang jamin laku sisa gampang nyusul,0
551,bbm cukup tar langka baru demo negara koleb sama bbm langka bondong bondong beli kendara,0
912,cuma punya sepeda tahun,1
535,rakyat cuma mau murah irit simpel gitu kok ngerti,2
1231,terlalu mahal mau orang pindah bbm harga sama donk lebih mahal harap lebih irit efek lambat,2
886,butuh motor butuh sembako murah,0
1429,mana esemka kok hilang cinta produk produk indonesia,2
776,model harga jangkau pos isi daya angkut kualitas tahan batrey lama ubah baik avanza jaz dl ayla brio dl biaya mahal perlahan masyarakat alih klu mau maju bensin ubah biaya murah,2
146,mahal makanya sepi minat,2
1492,lebih murah masyarakat mana bapak,2
1515,cerdas orang hny dn pasar itu jln x blom da gimana kota ngecas jam br harga nih bbm naikin,1
274,harga juta mau laku keras ngotak punya blm sanggup mau beli juta dapet sigra bahkan dapet beli versi paling bawah juta harga beli tunai kredit oloh m lebih tembus,2
874,tempat isi utama,0
208,banyak cerita baik dulu charging station kait infrastruktur gtu harga mahal banget,2
1249,ev nd car hari long run lama charging station minim kota besar skip plus replacement baterai hampir tengah harga kasus cel baterai mati dadak start engine insentive potong ppn proses super ribet super lama potong depan bayar ful ppn dapet cashback ppn waktu kapan kapan cair harga overpriced besar suruh pilih mending hybrid engine sama kuat kuat belah contoh baterai half body,0
1058,coba motor dulu lama fast charging range tempuh pendek malas pakai option swap battery indomaret alfamart spbu jg,0
703,pikirin mogok pinggir hutan mo cari batre ecer susah,0
201,kaya subsidi,1
431,cipta angkut umum rata tepat waktu kok malah gala beli,0
881,banyak khawatir sering tanya masyarakat adl sedia spklu harap realisasi cepat spklu segera laku perintah dmana kmrn ud mou dg swata cepat edukasi kpd masyarakat baik perintah maupun dealer dg sales banyak mis informasi masyarakat ttg ev khusus edar indonesia ev wuling air ev ioniq dua brand sama beri garansi baterai th ganti baterai sifat parsial sbg contoh wuling air ev harga an harga baterai jt part ato jt al part hrga hilir ekosistem ev jalan harap harga baterai turun shg harga baterai kecil brand minded susah ubah tinggal produk jepang edar buat masyarakat ragu segera alih ev,0
499,kondisi jalan indonesia mayoritas buruk gelombang buat cepat bobrok baterai suku cadang mahal bikin bangkrut guna,0
340,pesimis battery lithium limbah bagaimana memngingat olah limbah lithium mudah,2
494,dapat rakyat hilang banyak phk usah beli barang baru second oke so mau cantik apa bakal laku jabat jg make kocak omong sesuai nyata,0
190,jarak sih bikin orang milih bensin orang indo klau beli bukan cuman buat kota luar kota,0
282,bangun harus sektor transportasi kereta umum rakyat pusing mikir cicil tiap bulan,0
1133,turun tangan usaha,0
254,ngebacot apa ni orang,0
1122,baru laku gratis pakai tol depanjang tol buat isi mungkin sedikit minat cuma dua sama sama bisnis tol gratis rugi bisnis tol,2
348,muldoko nyambi bisnis ciie,2
1115,suruh temen luhut sama moeldoko beli minat punya duit,2
1,problem subsidi kualitas diturunin harga dinaikin usaha gitu cari cuan subsidi sebab inflasi paling gede,0
1074,terlalumahal harga,2
1446,kok lihat mol kendara,2
98,faktor indonesia jarak tempuh harga sangat mahal rakyat kecil infrastruktur suku cadang,0
1447,wah ngeri dong banjir takut korsleting,0
688,harap harap sejahtera makan hari,1
469,beri power of service masuk stasiun cargher rumah garansi pada utama baterai motor kendara pajak naik mungkin persen convert evisien power garansi harga pilih pilih kendara utama bangun kabupaten camat mungkin kembang atas pln khusus green energi pasang plts mudah murah cepat garansi service center cepat mudah murah ingat barang mati hidup bahan bakar bbm baik bbm official pertamina negara subsidi bbm kota bahkan ecer tiap desa tetap sehat service official kota bahkan teknisi umkm masyarakat mana masuk kota bahkan desa desa charger stasiun mungkin pertamina charger merk negara luas tempat istirahat private pln merk milik negara sedia bangun sumber baru plts dl baik dl okke indonesia material alam nikel no dunia indonesia negara baterai murah per kapasiti dunia level tentu indonesia material produk dl daya baterai charger center minimal tiap pertamina few sedikit bangun baik pln tunjuk few sedikit simpul priode step kapan sektor lain laksana da bismillah moga go green energy baru indonesia cepat capai mungkin tahun depan,0
749,jangan mau beli bayar ngos ngosan,0
561,cas ber jam pakek cuma jam,0
1440,hybrid masuk ganjil genap,0
503,subsidi kendara pilah pilih ae kok kakean cangkem deloken musuh politik subsidi kendara jarene nikmat orang kaya lha wong miskin ae gaiso tuku ogh masio subsidi kok sik meksoi subsidi khusus terima kur ruwet ngerti a,0
1461,subsidi roda jelas tepat sasar uda beli roda arti uda mandiri roda jg benar krg sekali subsidi maaf masy ekonomi lemah lha beli motor baru hrga krg lbi jt hrsnya terima bantu banyak duduk blm pnya motor anggar untuk sektor otomotif pegawai otomotif banyak banyak motor bukan banyak usaha perlu subsidi besar contoh bangun pasar masy jual bangun akses jalan cepat jakarta bal blm nyambung negara uda nyambung sampe pelosok subsidi beli motor ide konsumtif sia sia hrsnya subsidi pakai lbi urus pln lebih daya cara buat industri baru pakai banyak bkn subsidi harga jual motor teknologi makin lama makin bagus murah rugi guna sekarang,0
1428,kaya makin kaya miskin makin miskin,0
815,jalan umum masyarakt dibperbaiki lancat tak berlobag lagidi nkri,2
675,masalah cuma jarak tempuh lama charging,0
364,bahan bakar air kok hilang,0
1245,rakyat mau sah hukum mati bwt mafia iblis koruptor indonesia,0
1185,quality ragu trlebih harga mahal,2
359,mau laris manis buat bakar pungsi tenaga surya minyak bensin lebih irit banyak untung masyarakat pertalit tiada,2
564,kata masa depan tpi keluarin masa sekarng gmna mau laku,2
997,jala mulusin dlu desa sulit buat wara wiri jala rusak,2
1026,hybrid sekarang cocok banding kendara,2
520,mending beli beras minyak,0
677,subsidi beri bunga kredit naik jg kaum mending sma jg bodong mending ken,1
1157,info konspirasi minyak bumi batas bumi hanya bohong belaka minyak bumi ada tak batas,0
229,bagaimana nasib kendara bahan bakar gas dulu gembor,0
1039,jare subsidi nyatane kakean s pura subsidi,1
373,harus ev armada transportasi umum sih,0
